Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)
03/15/2017,2.437
04/15/2017,2.528
05/15/2017,2.503
06/15/2017,2.46
07/15/2017,2.414
08/15/2017,2.494
09/15/2017,2.761
10/15/2017,2.621
11/15/2017,2.678
12/15/2017,2.594
01/15/2018,2.671
02/15/2018,2.705
03/15/2018,2.709
04/15/2018,2.873
05/15/2018,2.987
06/15/2018,2.97
07/15/2018,2.928
08/15/2018,2.914
09/15/2018,2.915
10/15/2018,2.943
11/15/2018,2.736
12/15/2018,2.457
01/15/2019,2.338
02/15/2019,2.393
03/15/2019,2.594
04/15/2019,2.881
05/15/2019,2.946
06/15/2019,2.804
07/15/2019,2.823
08/15/2019,2.707
09/15/2019,2.681
10/15/2019,2.724
11/15/2019,2.693
12/15/2019,2.645
01/15/2020,2.636
02/15/2020,2.533
03/15/2020,2.329
04/15/2020,1.938
05/15/2020,1.961
06/15/2020,2.17
07/15/2020,2.272
08/15/2020,2.272
09/15/2020,2.274
10/15/2020,2.248
11/15/2020,2.2
12/15/2020,2.284
01/15/2021,2.42
02/15/2021,2.587
03/15/2021,2.898
04/15/2021,2.948
05/15/2021,3.076
06/15/2021,3.157
07/15/2021,3.231
08/15/2021,3.255
09/15/2021,3.272
10/15/2021,3.384
